Id,Name
1,Lasagna
2,Meat
3,tomatoes
4,black peppercorns
5,coriander seed
6,fennel seed
7,cumin
8,red pepper flakes
9,dried oregano
10,garlic
11,canola oil
12,flap meat
13,Kosher salt
14,vegetable oil
15,yellow onions
16,beef stew meat
17,Salt
18,black pepper
19,favas
20,cooked rice
21,crab meat
22,low-fat) mayonnaise
23,yellow bell pepper
24,parsley
25,sole
26,extra-virgin olive oil
27,fresh bread crumbs
28,lemon zest
29,Cheddar cheese
30,Cream Cheese
31,white pepper
32,Red Bell Peppers
33,Mayonnaise
34,Granulated Sugar
35,Hot Sauce
36,Cayenne Pepper
37,green cabbage
38,oil
39,white onion
40,pastrami
41,can diced tomatoes
42,white vinegar
43,light brown sugar
44,Parmesan
45,arugula
46,olive oil
47,Coarse salt
48,ground pepper
49,reduced-sodium chicken broth
50,meat tortellini
51,lemon juice
52,baguette
1002,flour
1003,sugar
1004,unsalted butter
1005,egg yolks
2002,cheese
2003,dry white wine
2004,eggs
2005,goat cheese
2006,lemon
2007,onion
2008,margarine
2009,pepper
2010,red bell pepper
2011,green bell pepper
2012,garlic powder
2013,greek yogurt
2014,vanilla
2015,cinnamon
2016,peanut butter
2017,american cheese
2018,salsa
2019,green chilies
2020,mushrooms
2021,salsa
2022,sour cream
2023,whipping cream
2024,butter
2025,mangoes
2026,Egg
2027,Spinach
2028,Feta Cheese
2029,"Onions, raw"
2030,frozen hash brown potatoes
2031,sausage
2032,mozzarella cheese
2033,parmesan cheese
2034,sun-dried tomato
2035,green onions
2036,milk
2037,broccoli
2038,Water
2039,fish sauce
2040,flax seeds
2041,almond flour
2042,chia seeds
2043,egg whites
2044,Baking Powder
2045,Apple Cider Vinegar
2046,Psyllium Husk Powder
2047,carrot
2048,celery
2049,potato
2050,plum tomato
2051,Tabasco Pepper Sauce
2052,lime
2053,whole milk
2054,hot dog
2055,white bread
2056,Jack cheese
2057,chili
2058,halloumi
2059,Cilantro
2060,Jalapeno
2061,cottage cheese
2062,beef tenderloin
2063,sausage meat
2064,whole tomatoes
2065,pepperoni
2066,spaghetti
2067,pizza dough
2068,marinara sauce
2069,green pepper
2070,bacon
2071,bread flour
2072,bread flour
2073,yeast
2074,extra virgin olive oil
2075,sourdough bread
2076,plum tomatoes
